!	1	3	1	1	4	1	3	1	1	4	3	3	4	4	2	3	3	4	3	3	4	4	4	5	4
&	0	1	0	0	2	0	0	1	0	3	3	4	3	3	2	3	2	1	1	1	1	1	1	1	1
''	1	3	1	1	4	1	3	1	0	4	3	3	3	4	2	2	2	4	3	4	4	5	5	5	4
'd	0	2	0	0	4	0	1	1	0	4	3	4	3	4	2	2	2	4	4	4	4	4	4	4	4
'll	0	2	0	0	3	0	0	1	0	1	4	4	2	1	3	2	1	3	3	3	4	4	4	4	4
'm	0	1	0	0	2	0	0	1	0	3	3	3	4	2	2	3	3	1	1	1	1	2	2	1	2
're	1	2	1	1	4	1	2	1	0	4	4	3	3	3	2	2	2	4	4	4	4	5	5	5	4
's	1	2	1	1	3	1	2	1	0	3	3	4	3	3	2	3	2	3	3	3	3	3	4	4	3
've	1	2	0	0	4	1	4	1	0	2	2	5	2	1	1	4	1	4	3	4	4	3	4	4	4
(1713-1766	3	3	2	1	4	3	4	1	0	4	3	2	2	2	3	1	1	4	3	3	2	4	4	4	3
(1794-1796)	1	2	1	2	4	1	2	1	0	2	4	4	4	2	3	2	2	4	3	3	3	4	4	4	4
(1801-1881)	1	3	1	1	4	1	3	1	0	2	4	4	1	3	3	2	0	3	2	2	2	3	3	3	3
(1825-1829	4	3	5	1	4	4	5	1	1	2	4	4	2	1	4	3	1	4	4	3	4	5	4	4	4
(1826-1905	4	3	4	2	5	4	6	1	0	4	4	3	4	3	2	2	2	4	3	4	4	4	5	5	4
(1917-1919	2	3	2	2	4	2	4	1	0	4	4	4	2	5	3	3	1	3	3	3	3	3	3	4	4
(1931)	1	4	1	1	4	1	3	1	0	4	4	4	2	4	3	3	2	5	6	7	6	6	5	5	5
(1957)	1	2	0	1	3	1	2	1	0	4	4	4	4	5	3	2	2	4	2	2	2	3	3	3	3
(1958)	1	3	1	1	4	1	3	1	0	4	4	2	3	3	2	1	2	3	3	4	4	4	4	5	5
(1960	1	2	0	0	4	1	1	0	0	3	2	2	3	3	1	1	2	3	3	3	3	4	4	5	5
(1961	0	2	0	1	2	0	2	1	0	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2	2
(1964	1	3	1	1	4	1	2	1	0	4	3	1	2	5	2	0	1	3	2	3	2	3	5	5	4
(1967)	1	1	1	1	3	1	3	1	0	4	4	4	4	3	2	4	5	5	5	4	4	4	4	3	3
(1968-1981)	4	4	4	5	4	4	6	1	1	3	3	4	4	2	3	4	4	5	5	5	4	6	6	5	5
(1987)	1	3	1	1	3	1	2	1	0	1	4	3	4	1	3	2	2	2	2	2	2	2	2	2	3
(1994)	1	2	1	1	3	1	2	2	1	4	4	3	3	5	3	2	2	3	2	2	3	3	3	3	3
(40	0	3	0	1	4	0	0	1	0	4	4	4	4	5	4	4	4	3	2	2	3	3	4	4	4
(``justitiekansler``	5	3	6	4	4	5	6	1	1	1	4	2	4	0	2	1	4	4	3	3	3	4	5	5	5
(``will	1	2	1	1	3	1	1	1	0	3	4	3	2	2	3	2	1	3	3	2	3	3	3	3	3
(an	0	3	0	1	4	0	0	1	0	4	4	4	1	5	4	3	0	3	3	3	3	3	4	4	3
(and	0	2	0	0	3	0	0	1	0	4	4	4	1	3	4	3	1	2	2	2	2	3	2	3	3
(april	1	2	1	0	2	1	2	1	0	3	4	2	3	3	2	1	2	2	2	2	2	2	2	3	2
(august	2	4	1	1	4	2	2	1	0	3	4	2	3	3	4	2	3	4	4	4	3	4	4	4	4
(based	1	2	0	1	4	1	2	0	0	4	4	0	3	4	4	0	2	6	6	5	4	5	5	6	5
(bb-28)	1	3	1	1	4	1	3	1	2	2	4	4	4	1	3	3	3	4	3	4	4	4	4	4	4
(bb-9	2	3	2	1	3	2	4	1	0	4	4	2	4	6	3	1	3	3	3	3	3	4	4	3	3
(born	1	3	1	1	3	1	2	1	0	4	4	3	3	4	3	2	2	3	2	2	2	3	3	3	3
(c.	0	2	0	0	3	0	2	1	0	4	4	4	1	4	3	3	1	2	2	2	2	2	3	2	2
(c1839-1876)	4	3	4	4	4	4	5	1	0	4	5	5	4	3	4	3	3	4	3	3	4	5	5	4	4
(daughter	1	4	1	1	4	1	2	1	0	4	4	1	4	5	4	0	2	4	2	3	3	3	4	5	5
(december	0	2	0	1	2	0	2	1	0	4	4	2	3	5	5	2	2	2	2	2	2	3	3	4	2
(died	0	1	0	0	2	0	1	1	0	4	4	4	4	3	4	2	2	1	1	1	1	1	1	2	2
(february	1	2	1	1	3	1	2	1	0	4	4	2	2	4	5	1	2	2	2	2	3	2	3	3	3
