Presents	2	4	3	1	5	2	6	1	0	5	5	3	4	6	4	2	3	5	3	3	4	4	5	5	5	O
a	0	2	0	0	3	0	1	0	0	3	3	4	4	2	2	3	3	2	2	3	3	3	4	4	4	O
good	2	3	2	1	4	2	5	1	0	5	3	4	5	6	2	3	4	4	3	2	3	3	5	5	4	O
case	1	3	1	1	4	1	5	1	0	3	4	5	4	2	3	4	3	4	2	2	3	5	5	6	6	O
while	2	4	2	1	5	2	6	1	0	4	4	4	3	4	3	3	1	4	3	3	3	4	4	5	5	O
failing	3	3	3	1	4	3	6	1	0	4	5	3	5	4	4	1	4	3	2	3	3	4	5	4	4	O
to	0	1	0	0	3	0	1	1	0	5	4	5	1	5	3	4	0	2	1	2	2	2	3	3	3	O
provide	2	4	2	1	5	2	7	1	0	4	3	1	5	4	1	0	4	3	3	4	4	4	4	5	5	O
a	0	0	0	0	1	0	0	1	0	3	5	5	2	2	4	4	1	1	0	1	1	1	2	3	2	O
reason	2	4	2	2	5	2	7	1	0	5	1	2	0	6	0	1	0	4	3	4	3	4	4	5	4	O
for	0	1	0	0	2	0	0	1	0	1	5	0	3	1	4	0	2	1	1	1	1	1	1	1	1	O
us	0	0	0	0	0	0	0	0	0	5	2	3	5	5	1	2	3	0	0	0	0	0	0	0	0	O
to	0	2	0	0	3	0	1	1	0	2	0	5	5	1	0	3	3	2	2	2	1	2	2	2	2	O
care	1	3	1	1	5	1	3	1	0	0	3	5	1	0	2	3	0	5	4	3	3	4	5	5	5	O
beyond	2	3	1	1	5	2	5	1	1	3	5	1	4	3	3	0	3	4	4	3	4	5	5	5	5	O
the	0	0	0	0	1	0	0	0	0	5	5	4	5	4	3	3	3	1	0	0	1	1	1	1	1	O
very	1	3	1	1	4	1	3	1	0	5	1	5	4	4	0	3	3	3	2	3	4	4	4	4	4	O
basic	2	3	2	1	5	2	3	1	0	1	4	4	2	1	3	3	1	4	4	4	4	5	5	5	5	O
dictums	2	3	2	2	4	2	6	1	0	4	5	2	4	4	3	1	4	4	3	3	3	3	4	4	4	O
of	0	1	0	0	2	0	0	1	0	5	4	4	4	4	3	4	3	1	1	1	1	1	2	2	2	O
human	1	4	1	1	4	1	4	1	0	4	2	4	4	4	1	3	3	4	3	3	3	4	4	5	4	O
